632 CATON AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,39,3053290104,05/23/2016,Closed,Cleaning crew dispatched.  Property cleaned.,07/28/2016,991404,175249
122-28 ROCKAWAY BOULEVARD,QUEENS,10 QUEENS,Precinct 106,28,4117160039,06/06/2016,Closed,Cleaning crew dispatched.  Property cleaned.,06/14/2016,1035473,185473
2509 AVENUE U,BROOKLYN,15 BROOKLYN,Precinct 61,48,3073300052,07/19/2016,Closed,Graffiti is intentional.,,999125,157855
2505 65 STREET,BROOKLYN,11 BROOKLYN,Precinct 62,44,3066070034,10/21/2016,Closed,Cleaning crew dispatched. No graffiti on property.,04/27/2017,991459,161293
997 PROSPECT AVENUE,BRONX,03 BRONX,Precinct 42,17,2026780044,03/06/2017,Closed,Cleaning crew dispatched.  Property cleaned.,04/18/2017,1011885,239221
2454 THIRD AVENUE,BRONX,01 BRONX,Precinct 40,08,2023170035,03/06/2017,Closed,Cleaning crew dispatched.  Property cleaned.,04/17/2017,1003718,234095
1320 GARRISON AVENUE,BRONX,02 BRONX,Precinct 41,17,2027610113,03/06/2017,Closed,Cleaning crew dispatched.  Property cleaned.,04/17/2017,1015588,238440
293 KNICKERBOCKER AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,34,3032200005,07/17/2016,Closed,Cleaning crew dispatched.  Property cleaned.,04/14/2017,1005414,194987
147-16 97 AVENUE,QUEENS,12 QUEENS,Precinct 103,28,4100310007,02/12/2017,Closed,Cleaning crew dispatched.  Property cleaned.,04/05/2017,1038249,193431
4502 CHURCH AVENUE,BROOKLYN,17 BROOKLYN,Precinct 67,45,3048990004,03/04/2017,Closed,Cleaning crew dispatched.  Property cleaned.,04/04/2017,1002273,176647
424 EAST  147 STREET,BRONX,01 BRONX,Precinct 40,08,2022910012,01/06/2017,Closed,Cleaning crew dispatched.  Owner refused.,03/29/2017,1007014,235975
262 VAN BRUNT STREET,BROOKLYN,06 BROOKLYN,Precinct 76,38,3005170001,02/02/2017,Closed,Cleaning crew dispatched.  Property cleaned.,03/29/2017,981627,187128
321 EAST   62 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,05,1014370007,10/29/2016,Closed,Cleaning crew dispatched. No graffiti on property.,03/29/2017,994696,216973
903 KNICKERBOCKER AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,37,3034430006,12/29/2016,Closed,Cleaning crew dispatched.  Property cleaned.,02/28/2017,1010811,190960
851 EAST  156 STREET,BRONX,02 BRONX,Precinct 41,17,2026880001,05/09/2016,Closed,Cleaning crew dispatched.  Cannot locate property.,02/06/2017,1011260,237073
18-22 ASTORIA BOULEVARD,QUEENS,01 QUEENS,Precinct 114,22,4005390030,09/09/2016,Closed,Cleaning crew dispatched.  Property cleaned.,12/09/2016,1004419,220637
200 MORGAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,34,3029420101,10/28/2016,Closed,Cleaning crew dispatched.  Owner refused.,12/08/2016,1002627,198300
1530 BEDFORD AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,35,3012590034,10/16/2016,Closed,Cleaning crew dispatched.  Property cleaned.,12/07/2016,996733,183705
1726 MC DONALD AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,44,3066070016,10/01/2016,Closed,Cleaning crew dispatched.  Owner refused.,12/06/2016,991648,161748
15-30 127 STREET,QUEENS,07 QUEENS,Precinct 109,19,4040920033,09/28/2016,Closed,Cleaning crew dispatched.  Property cleaned.,12/02/2016,1028215,225258
5302 4 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3008140038,08/29/2016,Closed,Cleaning crew dispatched.  Owner refused.,11/28/2016,980246,174159
91-30 VAN WYCK EXPRESSWAY,QUEENS,09 QUEENS,Precinct 102,29,4093750174,07/30/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/17/2016,1035593,193910
365 KNICKERBOCKER AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,37,3032580007,07/17/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/14/2016,1006039,194520
2535 ARTHUR KILL ROAD,STATEN ISLAND,03 STATEN ISLAND,Precinct 123,51,5071530077,08/31/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/10/2016,923658,140791
83-02 QUEENS BOULEVARD,QUEENS,04 QUEENS,Precinct 110,25,4024760012,06/07/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/09/2016,1017458,207916
512 EAST   74 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,05,1014850040,06/30/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/04/2016,997476,219060
208 8 AVENUE,MANHATTAN,04 MANHATTAN,Precinct 10,03,1007700076,08/24/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/03/2016,984365,210249
55 PITT STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1003430066,06/10/2016,Closed,Cleaning crew dispatched.  Owner refused.,11/01/2016,989005,200737
824 62 STREET,BROOKLYN,10 BROOKLYN,Precinct 68,38,3057280017,08/12/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/28/2016,981463,170232
1301 36 STREET,BROOKLYN,12 BROOKLYN,Precinct 66,39,3053100029,08/11/2016,Closed,Cleaning crew dispatched.  Cannot locate property.,10/25/2016,988579,173231
528 COLUMBIA STREET,BROOKLYN,06 BROOKLYN,Precinct 76,38,3005900032,08/11/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/18/2016,981973,184690
113 SMITH STREET,BROOKLYN,02 BROOKLYN,Precinct 84,33,3001880010,07/18/2016,Closed,Cleaning crew dispatched. No graffiti on property.,10/13/2016,987116,189895
102 SUYDAM STREET,BROOKLYN,04 BROOKLYN,Precinct 83,34,3032170005,07/11/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/05/2016,1004003,193618
275 BOERUM STREET,BROOKLYN,01 BROOKLYN,Precinct 90,34,3030730061,08/26/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/04/2016,1001722,196668
9601 FLATLANDS AVENUE,BROOKLYN,18 BROOKLYN,Precinct 69,46,3081840006,07/10/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/25/2016,1011626,173637
1686 MCDONALD AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,44,3065820050,05/23/2016,Closed,Cleaning crew dispatched.  Property cleaned.,07/29/2016,991586,162180
840 LORIMER STREET,BROOKLYN,01 BROOKLYN,Precinct 94,33,3026790043,06/06/2016,Closed,Cleaning crew dispatched.  Property cleaned.,07/11/2016,997870,202365
18 AVENUE B,MANHATTAN,03 MANHATTAN,Precinct 9,02,1003980035,11/26/2016,Closed,Cleaning crew dispatched.  Property cleaned.,03/30/2017,988856,202365
211 AVENUE M,BROOKLYN,12 BROOKLYN,Precinct 66,44,3065380050,01/28/2017,Closed,Cleaning crew dispatched.  Property cleaned.,03/09/2017,991765,163920
1824 CEDAR AVENUE,BRONX,05 BRONX,Precinct 46,16,2028810010,01/04/2017,Closed,Cleaning crew dispatched.  Property cleaned.,03/09/2017,1006391,250029
1701 AVENUE M,BROOKLYN,14 BROOKLYN,Precinct 70,44,3067370058,11/03/2016,Closed,Cleaning crew dispatched.  Property cleaned.,03/09/2017,995909,164521
4207 NEW UTRECHT AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,39,3055960030,01/10/2017,Closed,Cleaning crew dispatched.  Property cleaned.,04/27/2017,985841,173370
25-71 STEINWAY STREET,QUEENS,01 QUEENS,Precinct 114,22,4006840116,11/01/2016,Closed,Cleaning crew dispatched.  Property cleaned.,04/27/2017,1008620,218920
4414 4 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007370043,12/02/2016,Closed,Cleaning crew dispatched.  Property cleaned.,04/26/2017,981686,175976
596 MANHATTAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33,3026800044,02/24/2017,Closed,Cleaning crew dispatched.  Property cleaned.,04/19/2017,998013,202699
169 EAST   86 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,05,1015157503,03/06/2017,Closed,Cleaning crew dispatched. No graffiti on property.,04/14/2017,996763,223158
776 4 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3006570038,02/17/2017,Closed,Cleaning crew dispatched.  Property cleaned.,04/04/2017,984612,179672
445 EAST    6 STREET,MANHATTAN,03 MANHATTAN,Precinct 9,02,1004340036,12/29/2016,Closed,Cleaning crew dispatched.  Owner refused.,03/31/2017,988370,203769
32-62 83 STREET,QUEENS,03 QUEENS,Precinct 115,25,4014120040,12/23/2016,Closed,Cleaning crew dispatched.  Property cleaned.,02/28/2017,1016219,214918
184 BUFFALO AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,36,3013680044,01/24/2017,Closed,Cleaning crew dispatched.  Property cleaned.,02/27/2017,1005004,184411
218 BERRY STREET,BROOKLYN,01 BROOKLYN,Precinct 94,34,3023580020,12/22/2016,Closed,Cleaning crew dispatched.  Property cleaned.,02/22/2017,994827,200138
7810 NEW UTRECHT AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,43,3062590039,08/17/2016,Closed,Cleaning crew dispatched.  Property cleaned.,12/08/2016,984060,162691
44-10 30 AVENUE,QUEENS,01 QUEENS,Precinct 114,22,4007130084,06/20/2016,Closed,Cleaning crew dispatched. No graffiti on property.,11/10/2016,1008732,217015
59 ST MARY'S AVENUE,STATEN ISLAND,01 STATEN ISLAND,Precinct 120,49,5028460232,09/09/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/09/2016,964949,163508
3479 BROADWAY,MANHATTAN,09 MANHATTAN,Precinct 30,07,1020880098,08/18/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/09/2016,997554,239639
145-01 JAMAICA AVENUE,QUEENS,12 QUEENS,Precinct 103,24,4096750038,07/03/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/08/2016,1036983,195083
501 EAST   85 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,05,1015820001,07/09/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/04/2016,998856,221672
262 MOTT STREET,MANHATTAN,02 MANHATTAN,Precinct 5,01,1005087502,08/25/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/03/2016,985744,202937
120-03 JAMAICA AVENUE,QUEENS,09 QUEENS,Precinct 102,29,4092740081,08/20/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/02/2016,1031410,194437
6807 NEW UTRECHT AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,43,3055740008,07/16/2016,Closed,Cleaning crew dispatched.  Owner refused.,10/28/2016,984689,165564
6808 NEW UTRECHT AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,43,3055730010,07/16/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/28/2016,984682,165561
566 EAST  188 STREET,BRONX,06 BRONX,Precinct 48,15,2030560015,08/20/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/24/2016,1015266,251511
5409 8 AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,38,3056720007,09/06/2016,Closed,Cleaning crew dispatched. No graffiti on property.,10/24/2016,982542,171993
4719 4 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007650002,07/26/2016,Closed,Cleaning crew dispatched.  Owner refused.,10/20/2016,981204,175357
866 HUNTS POINT AVENUE,BRONX,02 BRONX,Precinct 41,17,2027620044,07/29/2016,Closed,Cleaning crew dispatched. No graffiti on property.,10/19/2016,1015016,237351
200 ALBANY AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,36,3012370042,07/18/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/18/2016,1001172,184725
887 FULTON STREET,BROOKLYN,02 BROOKLYN,Precinct 88,35,3019760001,07/14/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/18/2016,993181,188368
604 MONROE STREET,BROOKLYN,03 BROOKLYN,Precinct 81,36,3016400044,08/16/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/12/2016,1002781,189745
336 KNICKERBOCKER AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,37,3032350034,07/16/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/12/2016,1005738,194738
936 MARCY AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,36,3018500025,06/21/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/12/2016,999114,187479
152 ROCKAWAY AVENUE,BROOKLYN,16 BROOKLYN,Precinct 73,41,3015510056,08/18/2016,Closed,Cleaning crew dispatched. No graffiti on property.,10/11/2016,1008994,186286
963 LAFAYETTE AVENUE,BROOKLYN,03 BROOKLYN,Precinct 81,36,3016070001,07/22/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/07/2016,1002756,191386
201 SOUTH    4 STREET,BROOKLYN,01 BROOKLYN,Precinct 90,34,3024320025,08/24/2016,Closed,Cleaning crew dispatched.  Property cleaned.,09/29/2016,995295,198272
967 MANHATTAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33,3025400039,05/21/2016,Closed,Cleaning crew dispatched.  Property cleaned.,09/15/2016,996834,206029
256 WYTHE AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33,3023570116,05/26/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/29/2016,994497,200542
279 MALCOLM X BOULEVARD,BROOKLYN,03 BROOKLYN,Precinct 81,36,3016720001,06/28/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/26/2016,1003936,188052
301 BEDFORD AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,34,3024060006,05/20/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/24/2016,994824,199264
2150 BATH AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,47,3064470027,05/23/2016,Closed,Cleaning crew dispatched. No graffiti on property.,07/11/2016,984815,157498
381 METROPOLITAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,34,3023460021,05/10/2016,Closed,Cleaning crew dispatched.  Property cleaned.,07/06/2016,996584,199441
128 NASSAU AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33,3026820007,05/09/2016,Closed,Cleaning crew dispatched.  Property cleaned.,07/01/2016,998537,203248
1797 STILLWELL AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,44,3066430049,05/12/2016,Closed,Cleaning crew dispatched.  Property cleaned.,06/30/2016,988029,158868
2219 VOORHIES AVENUE,BROOKLYN,15 BROOKLYN,Precinct 61,48,3074670030,05/30/2016,Closed,Cleaning crew dispatched.  Property cleaned.,06/28/2016,999153,152978
98 BEDFORD AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33,3022900019,05/09/2016,Closed,Cleaning crew dispatched. No graffiti on property.,09/07/2016,996732,201746
1272 WHITEPLAINS ROAD,BRONX,09 BRONX,Precinct 43,18,2037680032,01/25/2017,Closed,Cleaning crew dispatched.  Owner refused.,03/09/2017,1022344,242481
1742 EAST    2 STREET,BROOKLYN,15 BROOKLYN,Precinct 61,44,3066330038,05/10/2016,Closed,Cleaning crew dispatched.  Property cleaned.,04/12/2017,992132,160531
79-11 146 STREET,QUEENS,08 QUEENS,Precinct 107,24,4066720057,03/15/2017,Closed,Cleaning crew dispatched.  Property cleaned.,04/10/2017,1035096,201193
1291 GRAND CONCOURSE,BRONX,04 BRONX,Precinct 44,16,2028390068,01/04/2017,Closed,Cleaning crew dispatched.  Cannot locate property.,03/06/2017,1007567,244063
22-68 35 STREET,QUEENS,01 QUEENS,Precinct 114,22,4008320082,08/14/2016,Closed,Cleaning crew dispatched.  Property cleaned.,12/12/2016,1009095,221183
92-48 172 STREET,QUEENS,12 QUEENS,Precinct 103,27,4102120037,09/06/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/30/2016,1043160,196671
645 ROGERS AVENUE,BROOKLYN,09 BROOKLYN,Precinct 71,40,3050570008,09/06/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/22/2016,997289,178187
348 ST NICHOLAS AVENUE,MANHATTAN,10 MANHATTAN,Precinct 32,09,1019540043,08/10/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/09/2016,997756,235218
38-10 65 STREET,QUEENS,02 QUEENS,Precinct 108,26,4012190083,06/29/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/09/2016,1012319,211366
11-16 124 STREET,QUEENS,07 QUEENS,Precinct 109,19,4039960032,08/01/2016,Closed,Cleaning crew dispatched. No graffiti on property.,11/09/2016,1027503,226325
259 HERZL STREET,BROOKLYN,16 BROOKLYN,Precinct 73,41,3035560001,07/28/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/20/2016,1008086,181118
2101 WESTBURY COURT,BROOKLYN,09 BROOKLYN,Precinct 71,40,3050260235,08/01/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/19/2016,995153,178528
1000 EAST  163 STREET,BRONX,02 BRONX,Precinct 41,17,2027230006,05/09/2016,Closed,Cleaning crew dispatched. No graffiti on property.,10/13/2016,1013733,238396
22 WEST  174 STREET,BRONX,05 BRONX,Precinct 46,14,2028650179,06/15/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/11/2016,1007882,247701
132 WEST  169 STREET,BRONX,04 BRONX,Precinct 44,16,2025180028,06/23/2016,Closed,Cleaning crew dispatched. No graffiti on property.,10/11/2016,1005172,245322
547 LEXINGTON AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,36,3018010151,07/07/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/07/2016,1000890,190283
666 HANCOCK STREET,BROOKLYN,03 BROOKLYN,Precinct 81,36,3016620012,07/19/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/04/2016,1004014,188840
3030 OCEAN AVENUE,BROOKLYN,15 BROOKLYN,Precinct 61,48,3074640022,05/23/2016,Closed,Cleaning crew dispatched.  Property cleaned.,09/14/2016,998383,153230
221 NORTH SEVENTH STREET,BROOKLYN,01 BROOKLYN,Precinct 94,33,3023210030,05/17/2016,Closed,Cleaning crew dispatched. No graffiti on property.,08/29/2016,996546,200337
4920 7 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007850143,05/21/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/04/2016,982721,173483
8300 4 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,3060170038,05/23/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/02/2016,976619,166953
254 KENT AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,33,3023770002,06/07/2016,Closed,Cleaning crew dispatched.  Property cleaned.,07/06/2016,993727,200318
372 81 STREET,BROOKLYN,10 BROOKLYN,Precinct 68,43,3059970037,02/10/2017,Closed,10-99 - Other (Notes Required),02/10/2017,976668,167550
198 BEDFORD AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33,3023270028,01/12/2017,Closed,10-90X - Unfounded,01/12/2017,995827,200637
724 EAST  233 STREET,BRONX,12 BRONX,Precinct 47,12,2048460051,12/10/2016,Closed,Cleaning crew dispatched. No graffiti on property.,04/26/2017,1023943,264690
4004 WHITE PLAINS ROAD,BRONX,12 BRONX,Precinct 47,12,2048400042,03/09/2017,Closed,Cleaning crew dispatched.  Property cleaned.,04/18/2017,1022969,263086
297 NORTH    7 STREET,BROOKLYN,01 BROOKLYN,Precinct 94,33,3023230045,06/26/2016,Closed,Cleaning crew dispatched. No graffiti on property.,04/11/2017,997274,199742
55 KENT STREET,BROOKLYN,01 BROOKLYN,Precinct 94,33,3025497501,01/03/2017,Closed,Cleaning crew dispatched.  Property cleaned.,04/10/2017,995638,205415
135 POWELL STREET,BROOKLYN,16 BROOKLYN,Precinct 73,37,3037120009,08/03/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/18/2016,1010778,183893
79 LUDLOW STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1004087502,08/10/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/02/2016,987145,200776
269 BOWERY,MANHATTAN,03 MANHATTAN,Precinct 5,01,1004277502,08/07/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/02/2016,986241,202878
4653 CARPENTER AVENUE,BRONX,12 BRONX,Precinct 47,11,2050780045,06/20/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/14/2016,1024755,268639
2385 BARKER AVENUE,BRONX,11 BRONX,Precinct 49,15,2043407502,05/12/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/12/2016,1020357,252930
1741 PILGRIM AVENUE,BRONX,10 BRONX,Precinct 45,13,2041620041,06/17/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/11/2016,1030323,247678
5650 MOSHOLU AVENUE,BRONX,08 BRONX,Precinct 50,11,2058481756,06/06/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/09/2016,1011354,268969
99 HAVEMEYER STREET,BROOKLYN,01 BROOKLYN,Precinct 90,34,3023697501,05/10/2016,Closed,Cleaning crew dispatched.  Cannot locate property.,07/06/2016,996356,199227
244 MALCOLM X BOULEVARD,BROOKLYN,03 BROOKLYN,Precinct 81,36,3016610042,05/06/2017,Open,Graffiti Reported,,1003825,188735
86-19 SUTTER AVENUE,QUEENS,10 QUEENS,Precinct 106,32,4091470036,04/03/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1025748,185559
92 MALCOLM X BOULEVARD,BROOKLYN,03 BROOKLYN,Precinct 81,36,3016210042,05/03/2017,Open,Site downloaded for cleaning,,1003494,190907
832 WASHINGTON AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,35,3011760096,04/27/2017,Open,Site downloaded for cleaning,,994546,184536
107-12 CROSSBAY BOULEVARD,QUEENS,10 QUEENS,Precinct 106,32,4091600201,04/24/2017,Open,Site downloaded for cleaning,,1027455,186551
1093 BEDFORD AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,36,3018070009,03/21/2017,Open,Site downloaded for cleaning,,996870,189334
4318 4 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007280043,02/17/2017,Open,Site downloaded for cleaning,,981844,176176
347 EAST  173 STREET,BRONX,04 BRONX,Precinct 44,15,2027900057,03/06/2017,Open,Site downloaded for cleaning,,1010495,246577
1411 MADISON AVENUE,MANHATTAN,11 MANHATTAN,Precinct 23,04,1016030051,02/03/2017,Open,Site downloaded for cleaning,,997157,226467
99 SUFFOLK STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1003530069,02/15/2017,Open,Site downloaded for cleaning,,988068,201129
97 4 AVENUE,BROOKLYN,06 BROOKLYN,Precinct 78,39,3009340001,02/21/2017,Open,Site downloaded for cleaning,,989689,187498
33-08 90 STREET,QUEENS,03 QUEENS,Precinct 115,25,4014370010,02/20/2017,Open,Site downloaded for cleaning,,1018085,214717
285 NOSTRAND AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,36,3017940004,02/24/2017,Open,Site downloaded for cleaning,,997768,190257
6401 14 AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,38,3057480010,02/11/2017,Open,Site downloaded for cleaning,,984588,167039
28-07 24 AVENUE,QUEENS,01 QUEENS,Precinct 114,22,4008430079,02/05/2017,Open,Site downloaded for cleaning,,1007257,221053
509 78 STREET,BROOKLYN,10 BROOKLYN,Precinct 68,43,3059620001,02/24/2017,Open,Site downloaded for cleaning,,977849,167694
27-11 24 AVENUE,QUEENS,01 QUEENS,Precinct 114,22,4008530084,01/26/2017,Open,Site downloaded for cleaning,,1007072,221225
247 JEWETT AVENUE,STATEN ISLAND,01 STATEN ISLAND,Precinct 120,49,5002150261,01/04/2017,Open,Site downloaded for cleaning,,948021,169230
74 RALPH AVENUE,BROOKLYN,03 BROOKLYN,Precinct 81,41,3016480044,01/24/2017,Open,Site downloaded for cleaning,,1005428,189758
127 BAY RIDGE AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,3058610088,01/05/2017,Open,Site downloaded for cleaning,,975709,171432
